"","age_mortality_id","x","list_x_units","n","ax","cap_nx","cap_dx","mx","lx_real","lx_stand","dx_real","dx_stand","px","qx","mjux","cap_lx_real","cap_lx_stand","ex","smoothed","animal","age_scaled","age_proportion"
"216","DL00080_TryonLT59.csv",3,NA,21,0.5,NA,NA,NA,4,0.1905,1,0.0476,0.7501,0.2499,0.2875,NA,0.1667,2.2501,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"217","DL00080_TryonLT02.csv",3,NA,17,0.5,NA,NA,NA,4,0.2353,1,0.0588,0.7501,0.2499,0.2875,NA,0.2059,2.6245,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"218","DL00080_TryonLT20.csv",5,NA,14,0.5,NA,NA,NA,4,0.2857,1,0.0714,0.7501,0.2499,0.2876,NA,0.25,2.5005,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"219","DL00080_TryonLT18.csv",6,NA,13,0.5,NA,NA,NA,4,0.3077,1,0.0769,0.7501,0.2499,0.2876,NA,0.2693,3.0002,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"220","DL00080_TryonLT36.csv",3,NA,13,0.5,NA,NA,NA,4,0.3077,1,0.0769,0.7501,0.2499,0.2876,NA,0.2693,1.9998,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"221","DL00080_TryonLT23.csv",3,NA,27,0.5,NA,NA,NA,4,0.1481,1,0.037,0.7502,0.2498,0.2875,NA,0.1296,2.1253,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"222","DL00080_TryonLT35.csv",1,NA,13,0.5,NA,NA,NA,13,1,3,0.2308,0.7692,0.2308,0.2624,NA,0.8846,2.3846,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"223","DL00080_TryonLT41.csv",2,NA,35,0.5,NA,NA,NA,22,0.6286,5,0.1429,0.7727,0.2273,0.2579,NA,0.5572,2.7272,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"224","DL00080_TryonLT19.csv",3,NA,21,0.5,NA,NA,NA,9,0.4286,2,0.0953,0.7776,0.2224,0.2515,NA,0.381,3.7774,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"225","DL00080_TryonLT57.csv",0,NA,23,0.5,NA,NA,NA,23,1,5,0.2174,0.7826,0.2174,0.2451,NA,0.8913,3.1306,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"226","DL00080_TryonLT54.csv",0,NA,42,0.5,NA,NA,NA,42,1,9,0.2143,0.7857,0.2143,0.2412,NA,0.8929,0.8929,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"227","DL00080_TryonLT12.csv",2,NA,18,0.5,NA,NA,NA,5,0.2778,1,0.0556,0.7999,0.2001,0.2233,NA,0.25,1.3999,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"228","DL00080_TryonLT08.csv",1,NA,15,0.5,NA,NA,NA,10,0.6667,2,0.1334,0.7999,0.2001,0.2233,NA,0.6,2.6498,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"229","DL00080_TryonLT49.csv",4,NA,69,0.5,NA,NA,NA,5,0.0725,1,0.0145,0.8,0.2,0.2231,NA,0.0653,1.6,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"230","DL00080_TryonLT10.csv",6,NA,50,0.5,NA,NA,NA,5,0.1,1,0.02,0.8,0.2,0.2231,NA,0.09,0.9,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"231","DL00080_TryonLT06.csv",5,NA,20,0.5,NA,NA,NA,10,0.5,2,0.1,0.8,0.2,0.2231,NA,0.45,2.95,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"232","DL00080_TryonLT19.csv",6,NA,21,0.5,NA,NA,NA,5,0.2381,1,0.0476,0.8001,0.1999,0.223,NA,0.2143,2.6,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"233","DL00080_TryonLT43.csv",4,NA,21,0.5,NA,NA,NA,5,0.2381,1,0.0476,0.8001,0.1999,0.223,NA,0.2143,0.9,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"234","DL00080_TryonLT50.csv",3,NA,21,0.5,NA,NA,NA,5,0.2381,1,0.0476,0.8001,0.1999,0.223,NA,0.2143,1.7999,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"235","DL00080_TryonLT18.csv",4,NA,13,0.5,NA,NA,NA,5,0.3846,1,0.0769,0.8001,0.1999,0.2231,NA,0.3462,4.1004,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"236","DL00080_TryonLT58.csv",2,NA,71,0.5,NA,NA,NA,32,0.4507,6,0.0845,0.8125,0.1875,0.2076,NA,0.4085,2.4375,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"237","DL00080_TryonLT10.csv",2,NA,50,0.5,NA,NA,NA,27,0.54,5,0.1,0.8148,0.1852,0.2048,NA,0.49,2.2778,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"238","DL00080_TryonLT02.csv",0,NA,17,0.5,NA,NA,NA,17,1,3,0.1765,0.8235,0.1765,0.1942,NA,0.9118,2.4116,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"239","DL00080_TryonLT57.csv",4,NA,23,0.5,NA,NA,NA,6,0.2609,1,0.0435,0.8333,0.1667,0.1824,NA,0.2392,2.4166,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"240","DL00080_TryonLT06.csv",4,NA,20,0.5,NA,NA,NA,12,0.6,2,0.1,0.8333,0.1667,0.1823,NA,0.55,3.375,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"241","DL00080_TryonLT25.csv",0,NA,12,0.5,NA,NA,NA,12,1,2,0.1667,0.8333,0.1667,0.1824,NA,0.9167,2.8334,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"242","DL00080_TryonLT27.csv",0,NA,48,0.5,NA,NA,NA,48,1,8,0.1667,0.8333,0.1667,0.1824,NA,0.9167,2.5104,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"243","DL00080_TryonLT43.csv",3,NA,21,0.5,NA,NA,NA,6,0.2857,1,0.0476,0.8334,0.1666,0.1823,NA,0.2619,1.6668,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"244","DL00080_TryonLT50.csv",2,NA,21,0.5,NA,NA,NA,6,0.2857,1,0.0476,0.8334,0.1666,0.1823,NA,0.2619,2.4167,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"245","DL00080_TryonLT25.csv",3,NA,12,0.5,NA,NA,NA,6,0.5,1,0.0833,0.8334,0.1666,0.1822,NA,0.4584,1.5001,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"246","DL00080_TryonLT57.csv",1,NA,23,0.5,NA,NA,NA,18,0.7826,3,0.1304,0.8334,0.1666,0.1823,NA,0.7174,2.8613,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"247","DL00080_TryonLT07.csv",2,NA,7,0.5,NA,NA,NA,6,0.8571,1,0.1428,0.8334,0.1666,0.1823,NA,0.7857,3.0835,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"248","DL00080_TryonLT01.csv",1,NA,21,0.5,NA,NA,NA,13,0.619,2,0.0952,0.8462,0.1538,0.167,NA,0.5714,2.6926,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"249","DL00080_TryonLT04.csv",2,NA,10,0.5,NA,NA,NA,7,0.7,1,0.1,0.8571,0.1429,0.1542,NA,0.65,3.5714,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"250","DL00080_TryonLT06.csv",2,NA,20,0.5,NA,NA,NA,14,0.7,2,0.1,0.8571,0.1429,0.1542,NA,0.65,4.6786,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"251","DL00080_TryonLT07.csv",1,NA,7,0.5,NA,NA,NA,7,1,1,0.1429,0.8571,0.1429,0.1542,NA,0.9286,3.5715,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"252","DL00080_TryonLT31.csv",2,NA,36,0.5,NA,NA,NA,7,0.1944,1,0.0277,0.8575,0.1425,0.1537,NA,0.1806,0.9288,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"253","DL00080_TryonLT49.csv",0,NA,69,0.5,NA,NA,NA,69,1,9,0.1304,0.8696,0.1304,0.1397,NA,0.9348,2.1886,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"254","DL00080_TryonLT59.csv",1,NA,21,0.5,NA,NA,NA,8,0.381,1,0.0477,0.8748,0.1252,0.1338,NA,0.3572,2.7499,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"255","DL00080_TryonLT10.csv",0,NA,50,0.5,NA,NA,NA,50,1,6,0.12,0.88,0.12,0.1278,NA,0.94,2.88,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"256","DL00080_TryonLT26.csv",2,NA,25,0.5,NA,NA,NA,9,0.36,1,0.04,0.8889,0.1111,0.1178,NA,0.34,2.3333,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"257","DL00080_TryonLT62.csv",1,NA,54,0.5,NA,NA,NA,38,0.7037,4,0.0741,0.8947,0.1053,0.1113,NA,0.6667,0.9473,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"258","DL00080_TryonLT10.csv",4,NA,50,0.5,NA,NA,NA,10,0.2,1,0.02,0.9,0.1,0.1054,NA,0.19,2.1,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"259","DL00080_TryonLT38.csv",1,NA,48,0.5,NA,NA,NA,11,0.2292,1,0.0209,0.9088,0.0912,0.0956,NA,0.2188,0.9544,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"260","DL00080_TryonLT41.csv",4,NA,35,0.5,NA,NA,NA,12,0.3429,1,0.0286,0.9166,0.0834,0.0871,NA,0.3286,2.1664,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"261","DL00080_TryonLT18.csv",0,NA,13,0.5,NA,NA,NA,13,1,1,0.0769,0.9231,0.0769,0.08,NA,0.9616,4.7309,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"262","DL00080_TryonLT44.csv",1,NA,35,0.5,NA,NA,NA,13,0.3714,1,0.0285,0.9233,0.0767,0.0798,NA,0.3572,0.9616,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"263","DL00080_TryonLT58.csv",4,NA,71,0.5,NA,NA,NA,14,0.1972,1,0.0141,0.9285,0.0715,0.0742,NA,0.1902,2.0712,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"264","DL00080_TryonLT58.csv",0,NA,71,0.5,NA,NA,NA,71,1,5,0.0704,0.9296,0.0704,0.073,NA,0.9648,2.7536,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"265","DL00080_TryonLT09.csv",1,NA,29,0.5,NA,NA,NA,20,0.6897,1,0.0345,0.95,0.05,0.0513,NA,0.6725,2.3249,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"266","DL00080_TryonLT19.csv",0,NA,21,0.5,NA,NA,NA,21,1,1,0.0476,0.9524,0.0476,0.0488,NA,0.9762,3.9524,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"267","DL00080_TryonLT01.csv",4,NA,21,0.5,NA,NA,NA,3,0.1429,0,0,1,0,0,NA,0.1429,3.6659,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"268","DL00080_TryonLT01.csv",5,NA,21,0.5,NA,NA,NA,3,0.1429,0,0,1,0,0,NA,0.1429,2.6659,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"269","DL00080_TryonLT01.csv",7,NA,21,0.5,NA,NA,NA,1,0.0476,0,0,1,0,0,NA,0.0476,3,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"270","DL00080_TryonLT01.csv",8,NA,21,0.5,NA,NA,NA,1,0.0476,0,0,1,0,0,NA,0.0476,2,NA,"Eastern chipmunk (Tamius striatus)",1.84548862358173,0.8
"271","DL00080_TryonLT01.csv",9,NA,21,0.5,NA,NA,NA,1,0.0476,0,0,1,0,0,NA,0.0476,1,NA,"Eastern chipmunk (Tamius striatus)",2.23214126717381,0.9
"272","DL00080_TryonLT02.csv",6,NA,17,0.5,NA,NA,NA,1,0.0588,0,0,1,0,0,NA,0.0588,3,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"273","DL00080_TryonLT02.csv",7,NA,17,0.5,NA,NA,NA,1,0.0588,0,0,1,0,0,NA,0.0588,2,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"274","DL00080_TryonLT02.csv",8,NA,17,0.5,NA,NA,NA,1,0.0588,0,0,1,0,0,NA,0.0588,1,NA,"Eastern chipmunk (Tamius striatus)",1.84548862358173,0.8
"275","DL00080_TryonLT03.csv",6,NA,19,0.5,NA,NA,NA,1,0.0526,0,0,1,0,0,NA,0.0526,2,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"276","DL00080_TryonLT03.csv",7,NA,19,0.5,NA,NA,NA,1,0.0526,0,0,1,0,0,NA,0.0526,1,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"277","DL00080_TryonLT04.csv",1,NA,10,0.5,NA,NA,NA,7,0.7,0,0,1,0,0,NA,0.7,4.5714,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"278","DL00080_TryonLT04.csv",4,NA,10,0.5,NA,NA,NA,4,0.4,0,0,1,0,0,NA,0.4,3.375,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"279","DL00080_TryonLT04.csv",5,NA,10,0.5,NA,NA,NA,4,0.4,0,0,1,0,0,NA,0.4,2.375,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"280","DL00080_TryonLT04.csv",8,NA,10,0.5,NA,NA,NA,1,0.1,0,0,1,0,0,NA,0.1,1,NA,"Eastern chipmunk (Tamius striatus)",1.84548862358173,0.8
"281","DL00080_TryonLT05.csv",5,NA,11,0.5,NA,NA,NA,1,0.0909,0,0,1,0,0,NA,0.0909,1,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"282","DL00080_TryonLT06.csv",1,NA,20,0.5,NA,NA,NA,14,0.7,0,0,1,0,0,NA,0.7,5.6786,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"283","DL00080_TryonLT06.csv",3,NA,20,0.5,NA,NA,NA,12,0.6,0,0,1,0,0,NA,0.6,4.375,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"284","DL00080_TryonLT06.csv",6,NA,20,0.5,NA,NA,NA,8,0.4,0,0,1,0,0,NA,0.4,2.5625,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"285","DL00080_TryonLT06.csv",9,NA,20,0.5,NA,NA,NA,3,0.15,0,0,1,0,0,NA,0.15,1,NA,"Eastern chipmunk (Tamius striatus)",2.23214126717381,0.9
"286","DL00080_TryonLT07.csv",0,NA,7,0.5,NA,NA,NA,7,1,0,0,1,0,0,NA,1,4.5715,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"287","DL00080_TryonLT07.csv",3,NA,7,0.5,NA,NA,NA,5,0.7143,0,0,1,0,0,NA,0.7143,2.6,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"288","DL00080_TryonLT07.csv",5,NA,7,0.5,NA,NA,NA,2,0.2857,0,0,1,0,0,NA,0.2857,2.2503,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"289","DL00080_TryonLT07.csv",7,NA,7,0.5,NA,NA,NA,1,0.1429,0,0,1,0,0,NA,0.1429,1,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"290","DL00080_TryonLT08.csv",4,NA,15,0.5,NA,NA,NA,2,0.1333,0,0,1,0,0,NA,0.1333,3.2506,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"291","DL00080_TryonLT08.csv",5,NA,15,0.5,NA,NA,NA,2,0.1333,0,0,1,0,0,NA,0.1333,2.2506,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"292","DL00080_TryonLT08.csv",7,NA,15,0.5,NA,NA,NA,1,0.0667,0,0,1,0,0,NA,0.0667,1,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"293","DL00080_TryonLT09.csv",5,NA,29,0.5,NA,NA,NA,1,0.0345,0,0,1,0,0,NA,0.0345,1,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"294","DL00080_TryonLT13.csv",3,NA,33,0.5,NA,NA,NA,5,0.1515,0,0,1,0,0,NA,0.1515,1,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"295","DL00080_TryonLT14.csv",2,NA,29,0.5,NA,NA,NA,7,0.2414,0,0,1,0,0,NA,0.2414,1,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"296","DL00080_TryonLT18.csv",1,NA,13,0.5,NA,NA,NA,12,0.9231,0,0,1,0,0,NA,0.9231,4.0834,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"297","DL00080_TryonLT18.csv",5,NA,13,0.5,NA,NA,NA,4,0.3077,0,0,1,0,0,NA,0.3077,4.0002,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"298","DL00080_TryonLT18.csv",7,NA,13,0.5,NA,NA,NA,3,0.2308,0,0,1,0,0,NA,0.2308,2.8332,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"299","DL00080_TryonLT18.csv",8,NA,13,0.5,NA,NA,NA,3,0.2308,0,0,1,0,0,NA,0.2308,1.8332,NA,"Eastern chipmunk (Tamius striatus)",1.84548862358173,0.8
"300","DL00080_TryonLT19.csv",4,NA,21,0.5,NA,NA,NA,7,0.3333,0,0,1,0,0,NA,0.3333,3.7145,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"301","DL00080_TryonLT19.csv",7,NA,21,0.5,NA,NA,NA,4,0.1905,0,0,1,0,0,NA,0.1905,2.1247,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"302","DL00080_TryonLT20.csv",1,NA,14,0.5,NA,NA,NA,6,0.4286,0,0,1,0,0,NA,0.4286,5.1667,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"303","DL00080_TryonLT20.csv",2,NA,14,0.5,NA,NA,NA,6,0.4286,0,0,1,0,0,NA,0.4286,4.1667,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"304","DL00080_TryonLT20.csv",4,NA,14,0.5,NA,NA,NA,4,0.2857,0,0,1,0,0,NA,0.2857,3.5005,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"305","DL00080_TryonLT20.csv",7,NA,14,0.5,NA,NA,NA,2,0.1429,0,0,1,0,0,NA,0.1429,2,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"306","DL00080_TryonLT20.csv",8,NA,14,0.5,NA,NA,NA,2,0.1429,0,0,1,0,0,NA,0.1429,1,NA,"Eastern chipmunk (Tamius striatus)",1.84548862358173,0.8
"307","DL00080_TryonLT21.csv",3,NA,12,0.5,NA,NA,NA,4,0.3333,0,0,1,0,0,NA,0.3333,2.6253,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"308","DL00080_TryonLT21.csv",5,NA,12,0.5,NA,NA,NA,2,0.1667,0,0,1,0,0,NA,0.1667,1.7499,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"309","DL00080_TryonLT22.csv",1,NA,9,0.5,NA,NA,NA,2,0.2222,0,0,1,0,0,NA,0.2222,6.25,NA,"Eastern chipmunk (Tamius striatus)",-0.861079881562819,0.1
"310","DL00080_TryonLT22.csv",2,NA,9,0.5,NA,NA,NA,2,0.2222,0,0,1,0,0,NA,0.2222,5.25,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"311","DL00080_TryonLT22.csv",3,NA,9,0.5,NA,NA,NA,2,0.2222,0,0,1,0,0,NA,0.2222,4.25,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"312","DL00080_TryonLT22.csv",4,NA,9,0.5,NA,NA,NA,2,0.2222,0,0,1,0,0,NA,0.2222,3.25,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"313","DL00080_TryonLT22.csv",5,NA,9,0.5,NA,NA,NA,2,0.2222,0,0,1,0,0,NA,0.2222,2.25,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"314","DL00080_TryonLT22.csv",7,NA,9,0.5,NA,NA,NA,1,0.1111,0,0,1,0,0,NA,0.1111,1,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"315","DL00080_TryonLT23.csv",6,NA,27,0.5,NA,NA,NA,1,0.037,0,0,1,0,0,NA,0.037,1,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"316","DL00080_TryonLT24.csv",3,NA,9,0.5,NA,NA,NA,2,0.2222,0,0,1,0,0,NA,0.2222,2.75,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"317","DL00080_TryonLT24.csv",5,NA,9,0.5,NA,NA,NA,1,0.1111,0,0,1,0,0,NA,0.1111,2,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"318","DL00080_TryonLT24.csv",6,NA,9,0.5,NA,NA,NA,1,0.1111,0,0,1,0,0,NA,0.1111,1,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"319","DL00080_TryonLT25.csv",2,NA,12,0.5,NA,NA,NA,6,0.5,0,0,1,0,0,NA,0.5,2.5001,NA,"Eastern chipmunk (Tamius striatus)",-0.47442723797074,0.2
"320","DL00080_TryonLT26.csv",5,NA,25,0.5,NA,NA,NA,2,0.08,0,0,1,0,0,NA,0.08,2.25,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
"321","DL00080_TryonLT26.csv",7,NA,25,0.5,NA,NA,NA,1,0.04,0,0,1,0,0,NA,0.04,1,NA,"Eastern chipmunk (Tamius striatus)",1.45883597998965,0.7
"322","DL00080_TryonLT27.csv",6,NA,48,0.5,NA,NA,NA,3,0.0625,0,0,1,0,0,NA,0.0625,1,NA,"Eastern chipmunk (Tamius striatus)",1.07218333639757,0.6
"323","DL00080_TryonLT30.csv",3,NA,33,0.5,NA,NA,NA,3,0.0909,0,0,1,0,0,NA,0.0909,1,NA,"Eastern chipmunk (Tamius striatus)",-0.0877745943786614,0.3
"324","DL00080_TryonLT35.csv",0,NA,13,0.5,NA,NA,NA,13,1,0,0,1,0,0,NA,1,3.3846,NA,"Eastern chipmunk (Tamius striatus)",-1.2477325251549,0
"325","DL00080_TryonLT35.csv",4,NA,13,0.5,NA,NA,NA,5,0.3846,0,0,1,0,0,NA,0.3846,1,NA,"Eastern chipmunk (Tamius striatus)",0.298878049213417,0.4
"326","DL00080_TryonLT36.csv",5,NA,13,0.5,NA,NA,NA,2,0.1538,0,0,1,0,0,NA,0.1538,1,NA,"Eastern chipmunk (Tamius striatus)",0.685530692805496,0.5
